"path","month","hits"
"String","Date","UInt32"
"Akiba_Hebrew_Academy","2017-08-01",241
"Aegithina_tiphia","2018-02-01",34
"1971-72_Utah_Stars_season","2016-10-01",1
"2015_UEFA_European_Under-21_Championship_qualification_Group_8","2015-12-01",73
"2016_Greater_Western_Sydney_Giants_season","2017-05-01",86
"AAA_Americas_Trios_Championship","2015-10-01",104
"1420_in_literature","2016-05-01",20
"Adair,_Beegie","2017-08-01",2
"1980_Rugby_League_State_of_Origin_match","2017-07-01",2
"Column_of_Santa_Felicita,_Florence","2017-06-01",14
"2007_Copa_America","2016-07-01",178
"Car_dealerships_in_the_USA","2015-07-01",11
"Dihydromyricetin_reductase","2015-07-01",1
"ATCvet_code_QB05BB01","2017-04-01",1
"City_CarShare","2017-01-01",125
"Heidenrod","2017-01-01",10
"Arthur_Henrique","2016-11-01",12
"Alan_Ebnother","2015-11-01",66
"2013_UConn_football_season","2017-05-01",2
"2008_American_League_Division_Series","2016-12-01",376
"Antilipaemic","2017-09-01",12
"Aberzombie","2016-12-01",28
"2008_Asian_Wrestling_Championships","2016-12-01",76
"Federal_Correctional_Complex,_Pollock","2017-01-01",19
"Central_body","2015-07-01",32
"Binbrook,_Ontario","2015-07-01",446
"Azerbaijan_at_the_2016_Judo_Grand_Prix_Samsun","2016-10-01",25
"Ashford_Lake","2017-10-01",80
"1942_Joint_Strike","2015-12-01",3
"AFC_Youth_Championship_2012","2017-10-01",2
"Akhira","2016-07-01",64
"Arroniro_Arlieri","2016-10-01",1
"Alesheim_Burgsalach","2015-05-01",2
"2700_classic","2017-05-01",4
"ARX-8_Laevatein","2015-06-01",14
"1991_Newsweek_Champions_Cup_-_Singles","2017-06-01",3
"Aphelandra_sinclairiana","2017-07-01",69
"Asia_Kong","2015-10-01",2
"2012_Internazionali_Tennis_Val_Gardena_Sudtirol","2016-02-01",1
"24_Carat_Purple","2017-06-01",476
"Acroliths","2017-12-01",9
"Bundesautobahn_3","2016-04-01",264
"ATC_code_S01AX21","2016-09-01",1
"Allington,_Lincolnshire","2015-11-01",188
"Acer_Aspire_One","2017-06-01",5169
"ATC_code_L04AC","2015-06-01",1
"1969_New_Year_Honours","2017-07-01",269
"Antonio_Napolitano","2017-11-01",44
"Amberfish","2017-10-01",11
"1976_Cam_2_Motor_Oil_400","2018-03-01",45
"April_25,_2017","2018-01-01",2
"Akahori_Station","2016-06-01",11
"Abducens_palsy","2016-05-01",28
"Ancona_cathedral","2018-01-01",2
"Ajou_Motor_College","2017-02-01",83
"Brad_Skyes","2016-11-01",1
"Alegro_PCS","2017-07-01",157
"Franz_Dunshirn","2017-01-01",1
"Arthur_Godfrey_Road","2016-11-01",3
"Ab_Golman","2017-05-01",30
"Art_in_early_modern_Scotland","2016-03-01",98
"1968_World_Series","2016-02-01",1960
"1828_in_the_UK","2017-08-01",3
"Explorer-1_Prime_Unit_2","2016-11-01",11
"2014_Desafio_Internacional_das_Estrelas","2017-12-01",31
"Ambulyx_subocellata","2016-08-01",1
"2008_Hamilton_Tiger-Cats_season","2015-11-01",153
"Deuterogamist","2015-07-01",5
"Art_Nouveau_furniture","2017-12-01",839
"Allison,_Colorado","2015-10-01",85
"2014_MLS_Re-Entry_Draft","2017-09-01",36
"Amiot_353","2015-12-01",8
"ACLU_of_Massachusetts","2015-11-01",106
"Altable,_Spain","2016-10-01",1
"Agnidra_scabiosa","2016-12-01",16
"Dictyotremella_novoguineensis","2015-07-01",1
"Compiler_Construction","2015-07-01",42
"Aufheben","2016-11-01",1080
"Avafauna","2017-06-01",17
"Atheist_billboard","2017-01-01",19
"2011_Indonesia_Super_League_All-Star_team","2015-11-01",15
"BrahMos_II","2015-07-01",31
"1707_in_art","2016-04-01",17
"Aeromarine_Model_60","2016-06-01",34
"Ayatollah-al-ozma","2015-06-01",12
"Exanimus","2017-01-01",4
"Anderby","2017-01-01",29
"Ashgabat_indoor_tennis_arena","2017-07-01",27
"1971_Rose_Bowl","2015-12-01",961
"2004_HR56","2016-05-01",5
"1886_in_South_Africa","2016-03-01",70
"Bishop_of_Central_Newfoundland","2016-04-01",1
"Alice_Rivlin","2016-09-01",1137
"Arriba_en_la_Cordillera","2017-06-01",39
"Adam_Lively","2016-06-01",77
"Colasposoma_fairmairei_fairmairei","2017-06-01",5
"Archie_Barton","2017-02-01",49
"Aharon_wasserman","2016-01-01",7
"Alabama_Educational_Television_Commission","2017-05-01",3
"Advanced_Technology_Bomber","2016-02-01",67
