"path","month","hits"
"Akiba_Hebrew_Academy","2017-08-01",241
"Aegithina_tiphia","2018-02-01",34
"1971-72_Utah_Stars_season","2016-10-01",1
"2015_UEFA_European_Under-21_Championship_qualification_Group_8","2015-12-01",73
"2016_Greater_Western_Sydney_Giants_season","2017-05-01",86
"AAA_Americas_Trios_Championship","2015-10-01",104
"1420_in_literature","2016-05-01",20
"Adair,_Beegie","2017-08-01",2
"1980_Rugby_League_State_of_Origin_match","2017-07-01",2
"Column_of_Santa_Felicita,_Florence","2017-06-01",14
"2007_Copa_America","2016-07-01",178
"Car_dealerships_in_the_USA","2015-07-01",11
"Dihydromyricetin_reductase","2015-07-01",1
"ATCvet_code_QB05BB01","2017-04-01",1
"City_CarShare","2017-01-01",125
"Heidenrod","2017-01-01",10
"Arthur_Henrique","2016-11-01",12
"Alan_Ebnother","2015-11-01",66
"2013_UConn_football_season","2017-05-01",2
"2008_American_League_Division_Series","2016-12-01",376
"Antilipaemic","2017-09-01",12
"Aberzombie","2016-12-01",28
"2008_Asian_Wrestling_Championships","2016-12-01",76
"Federal_Correctional_Complex,_Pollock","2017-01-01",19
"Central_body","2015-07-01",32
"Binbrook,_Ontario","2015-07-01",446
"Azerbaijan_at_the_2016_Judo_Grand_Prix_Samsun","2016-10-01",25
"Ashford_Lake","2017-10-01",80
"1942_Joint_Strike","2015-12-01",3
"AFC_Youth_Championship_2012","2017-10-01",2
"Akhira","2016-07-01",64
"Arroniro_Arlieri","2016-10-01",1
"Alesheim_Burgsalach","2015-05-01",2
"2700_classic","2017-05-01",4
"ARX-8_Laevatein","2015-06-01",14
"1991_Newsweek_Champions_Cup_-_Singles","2017-06-01",3
"Aphelandra_sinclairiana","2017-07-01",69
"Asia_Kong","2015-10-01",2
"2012_Internazionali_Tennis_Val_Gardena_Sudtirol","2016-02-01",1
"24_Carat_Purple","2017-06-01",476
"Acroliths","2017-12-01",9
"Bundesautobahn_3","2016-04-01",264
"ATC_code_S01AX21","2016-09-01",1
"Allington,_Lincolnshire","2015-11-01",188
"Acer_Aspire_One","2017-06-01",5169
"ATC_code_L04AC","2015-06-01",1
