version,date,type,action,is_experimental,is_breaking,is_security_fix,setting_name,default_enabled,pull_request,author,description
20.11.2.1,2020-11-11,Backward Incompatible Change,Fixed,0,1,0,,,16635,tavplubix,"If some `profile` was specified in `distributed_ddl` config section, then this profile could overwrite settings of `default` profile on server startup. It's fixed, now settings of distributed DDL queries should not affect global server settings. [#16635](https://github.com/ClickHouse/ClickHouse/pull/16635) ([tavplubix](https://github.com/tavplubix))."
20.11.2.1,2020-11-11,Backward Incompatible Change,,0,1,0,,,16601,alesapin,"Restrict to use of non-comparable data types (like `AggregateFunction`) in keys (Sorting key, Primary key, Partition key, and so on). [#16601](https://github.com/ClickHouse/ClickHouse/pull/16601) ([alesapin](https://github.com/alesapin))."
20.11.2.1,2020-11-11,Backward Incompatible Change,Enabled,0,1,0,enable_debug_queries,,16536,Ivan,"Remove `ANALYZE` and `AST` queries, and make the setting `enable_debug_queries` obsolete since now it is the part of full featured `EXPLAIN` query. [#16536](https://github.com/ClickHouse/ClickHouse/pull/16536) ([Ivan](https://github.com/abyss7))."
20.11.2.1,2020-11-11,Backward Incompatible Change,,0,1,0,,,16407,alexey-milovidov,"Aggregate functions `boundingRatio`, `rankCorr`, `retention`, `timeSeriesGroupSum`, `timeSeriesGroupRateSum`, `windowFunnel` were erroneously made case-insensitive. Now their names are made case sensitive as designed. Only functions that are specified in SQL standard or made for compatibility with other DBMS or functions similar to those should be case-insensitive. [#16407](https://github.com/ClickHouse/ClickHouse/pull/16407) ([alexey-milovidov](https://github.com/alexey-milovidov))."
20.11.2.1,2020-11-11,Backward Incompatible Change,,0,1,0,,,16124,hexiaoting,Make `rankCorr` function return nan on insufficient data [#16124](https://github.com/ClickHouse/ClickHouse/issues/16124). [#16135](https://github.com/ClickHouse/ClickHouse/pull/16135) ([hexiaoting](https://github.com/hexiaoting)).
20.11.2.1,2020-11-11,Backward Incompatible Change,,0,1,0,,,,,"When upgrading from versions older than 20.5, if rolling update is performed and cluster contains both versions 20.5 or greater and less than 20.5, if ClickHouse nodes with old versions are restarted and old version has been started up in presence of newer versions, it may lead to `Part ... intersects previous part` errors. To prevent this error, first install newer clickhouse-server packages on all cluster nodes and then do restarts (so, when clickhouse-server is restarted, it will start up with the new version)."
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,12736,Denis Glazachev,Added support of LDAP as a user directory for locally non-existent users. [#12736](https://github.com/ClickHouse/ClickHouse/pull/12736) ([Denis Glazachev](https://github.com/traceon)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,16428,alesapin,Add `system.replicated_fetches` table which shows currently running background fetches. [#16428](https://github.com/ClickHouse/ClickHouse/pull/16428) ([alesapin](https://github.com/alesapin)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,date_time_output_format,,15845,Maksim Kita,Added setting `date_time_output_format`. [#15845](https://github.com/ClickHouse/ClickHouse/pull/15845) ([Maksim Kita](https://github.com/kitaisreal)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,16158,alexey-milovidov,Added minimal web UI to ClickHouse. [#16158](https://github.com/ClickHouse/ClickHouse/pull/16158) ([alexey-milovidov](https://github.com/alexey-milovidov)).
20.11.2.1,2020-11-11,New Feature,,0,0,0,,,15199,filimonov,Allows to read/write Single protobuf message at once (w/o length-delimiters). [#15199](https://github.com/ClickHouse/ClickHouse/pull/15199) ([filimonov](https://github.com/filimonov)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,14195,Alexander Kuzmenkov,"Added initial OpenTelemetry support. ClickHouse now accepts OpenTelemetry traceparent headers over Native and HTTP protocols, and passes them downstream in some cases. The trace spans for executed queries are saved into the `system.opentelemetry_span_log` table. [#14195](https://github.com/ClickHouse/ClickHouse/pull/14195) ([Alexander Kuzmenkov](https://github.com/akuzm))."
20.11.2.1,2020-11-11,New Feature,,0,0,0,,,15823,Maksim Kita,Allow specify primary key in column list of `CREATE TABLE` query. This is needed for compatibility with other SQL dialects. [#15823](https://github.com/ClickHouse/ClickHouse/pull/15823) ([Maksim Kita](https://github.com/kitaisreal)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,15855,hexiaoting,Implement `OFFSET offset_row_count {ROW | ROWS} FETCH {FIRST | NEXT} fetch_row_count {ROW | ROWS} {ONLY | WITH TIES}` in SELECT query with ORDER BY. This is the SQL-standard way to specify `LIMIT`. [#15855](https://github.com/ClickHouse/ClickHouse/pull/15855) ([hexiaoting](https://github.com/hexiaoting)).
20.11.2.1,2020-11-11,New Feature,,0,0,0,,,16438,Azat Khuzhin,`errorCodeToName` function - return variable name of the error (useful for analyzing query_log and similar). `system.errors` table - shows how many times errors has been happened (respects `system_events_show_zero_values`). [#16438](https://github.com/ClickHouse/ClickHouse/pull/16438) ([Azat Khuzhin](https://github.com/azat)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,16242,,"Added function `untuple` which is a special function which can introduce new columns to the SELECT list by expanding a named tuple. [#16242](https://github.com/ClickHouse/ClickHouse/pull/16242) ([Nikolai Kochetov](https://github.com/KochetovNicolai), [Amos Bird](https://github.com/amosbird))."
20.11.2.1,2020-11-11,New Feature,,0,0,0,,,16594,Amos Bird,Now we can provide identifiers via query parameters. And these parameters can be used as table objects or columns. [#16594](https://github.com/ClickHouse/ClickHouse/pull/16594) ([Amos Bird](https://github.com/amosbird)).
20.11.2.1,2020-11-11,New Feature,Added,1,0,0,,,16642,Maksim Kita,"Added big integers (UInt256, Int128, Int256) and UUID data types support for MergeTree BloomFilter index. Big integers is an experimental feature. [#16642](https://github.com/ClickHouse/ClickHouse/pull/16642) ([Maksim Kita](https://github.com/kitaisreal))."
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,16570,Jacob Hayes,Add `farmFingerprint64` function (non-cryptographic string hashing). [#16570](https://github.com/ClickHouse/ClickHouse/pull/16570) ([Jacob Hayes](https://github.com/JacobHayes)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,log_queries_min_query_duration_ms,,16529,Azat Khuzhin,"Add `log_queries_min_query_duration_ms`, only queries slower than the value of this setting will go to `query_log`/`query_thread_log` (i.e. something like `slow_query_log` in mysql). [#16529](https://github.com/ClickHouse/ClickHouse/pull/16529) ([Azat Khuzhin](https://github.com/azat))."
20.11.2.1,2020-11-11,New Feature,,0,0,0,,,16479,filimonov,Ability to create a docker image on the top of `Alpine`. Uses precompiled binary and glibc components from ubuntu 20.04. [#16479](https://github.com/ClickHouse/ClickHouse/pull/16479) ([filimonov](https://github.com/filimonov)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,16337,Maksim Kita,"Added `toUUIDOrNull`, `toUUIDOrZero` cast functions. [#16337](https://github.com/ClickHouse/ClickHouse/pull/16337) ([Maksim Kita](https://github.com/kitaisreal))."
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,max_concurrent_queries_for_all_users,,6636,nvartolomei,"Add `max_concurrent_queries_for_all_users` setting, see [#6636](https://github.com/ClickHouse/ClickHouse/issues/6636) for use cases. [#16154](https://github.com/ClickHouse/ClickHouse/pull/16154) ([nvartolomei](https://github.com/nvartolomei))."
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,print_query_id,,15809,Amos Bird,Add a new option `print_query_id` to clickhouse-client. It helps generate arbitrary strings with the current query id generated by the client. Also print query id in clickhouse-client by default. [#15809](https://github.com/ClickHouse/ClickHouse/pull/15809) ([Amos Bird](https://github.com/amosbird)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,9434,flynn,Add `tid` and `logTrace` functions. This closes [#9434](https://github.com/ClickHouse/ClickHouse/issues/9434). [#15803](https://github.com/ClickHouse/ClickHouse/pull/15803) ([flynn](https://github.com/ucasFL)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,15497,Filipe Caixeta,Add function `formatReadableTimeDelta` that format time delta to human readable string ... [#15497](https://github.com/ClickHouse/ClickHouse/pull/15497) ([Filipe Caixeta](https://github.com/filipecaixeta)).
20.11.2.1,2020-11-11,New Feature,Added,0,0,0,,,13956,Vladimir Chebotarev,Added `disable_merges` option for volumes in multi-disk configuration. [#13956](https://github.com/ClickHouse/ClickHouse/pull/13956) ([Vladimir Chebotarev](https://github.com/excitoon)).
20.11.2.1,2020-11-11,Experimental Feature,,1,0,0,,,11844,Vasily Nemkov,"New functions `encrypt`, `aes_encrypt_mysql`, `decrypt`, `aes_decrypt_mysql`. These functions are working slowly, so we consider it as an experimental feature. [#11844](https://github.com/ClickHouse/ClickHouse/pull/11844) ([Vasily Nemkov](https://github.com/Enmk))."
20.11.2.1,2020-11-11,Bug Fix,,0,0,0,,,16727,Azat Khuzhin,Mask password in data_path in the `system.distribution_queue`. [#16727](https://github.com/ClickHouse/ClickHouse/pull/16727) ([Azat Khuzhin](https://github.com/azat)).
