v20.3.8.53-lts	2020-04-17
v20.3.7.46-lts	2020-04-16
v20.3.6.40-lts	2020-03-27
v20.3.5.21-stable	2020-03-20
v20.3.4.10-stable	2020-03-17
v20.3.3.6-stable	2020-03-12
v20.3.2.1-stable	2020-04-24
v20.1.11.73-stable	2020-04-17
v20.1.10.70-stable	2020-03-28
v20.1.9.54-stable	2020-03-20
v20.1.8.41-stable	2020-03-18
v20.1.7.38-stable	2020-03-05
v20.1.6.30-stable	2020-03-04
v20.1.5.26-stable	2020-02-10
v20.1.4.14-stable	2020-01-31
v20.1.3.7-stable	2020-01-22
v20.1.2.4-stable	2020-02-10
v19.17.9.60-stable	2020-01-31
v19.17.8.54-stable	2020-01-22
v19.17.7.52-stable	2019-12-27
v19.17.6.36-stable	2019-12-06
v19.17.5.18-stable	2019-11-22
v19.17.4.11-stable	2019-11-16
v19.17.3.7-stable	2019-11-14
v19.17.2.4-stable	2020-04-27
v19.16.19.85-stable	2020-04-17
v19.16.17.80-stable	2020-03-25
v19.16.16.72-stable	2020-03-25
v19.16.15.69-stable	2020-03-05
v19.16.14.65-stable	2020-02-10
v19.16.13.54-stable	2020-02-06
v19.16.12.49-stable	2020-01-22
v19.16.11.47-stable	2019-12-29
v19.16.10.44-stable	2019-12-20
v19.16.9.37-stable	2019-12-19
v19.16.8.34-stable	2019-12-06
v19.16.7.24-stable	2019-11-30
v19.16.6.17-stable	2019-11-22
v19.16.5.15-stable	2019-11-16
v19.16.4.12-stable	2019-11-09
v19.16.3.6-stable	2019-10-30
v19.16.2.2-stable	2019-12-29
v19.15.7.30-stable	2019-11-22
v19.15.6.21-stable	2019-11-18
v19.15.5.18-stable	2019-10-31
v19.15.4.10-stable	2019-10-09
v19.15.3.6-stable	2019-10-01
v19.15.2.2-stable	2020-04-20
v19.14.11.16-lts	2019-12-29
v19.14.10.16-lts	2019-12-23
v19.14.9.12-stable	2019-12-16
v19.14.8.9-lts	2019-10-02
v19.14.7.15-stable	2019-09-19
v19.14.6.12-stable	2019-09-10
v19.14.3.3-stable	2019-11-06
v19.13.7.57-stable	2019-10-02
v19.13.6.51-stable	2019-09-20
v19.13.5.44-stable	2019-09-10
v19.13.4.32-stable	2019-08-22
v19.13.3.26-stable	2019-08-14
v19.13.2.19-stable	2019-08-07
v19.13.1.11-stable	2019-12-04
v19.11.14.1-stable	2019-11-01
v19.11.13.74-stable	2019-10-02
v19.11.12.69-stable	2019-09-13
v19.11.11.57-stable	2019-09-10
v19.11.10.54-stable	2019-09-06
v19.11.9.52-stable	2019-08-22
v19.11.8.46-stable	2019-08-14
v19.11.7.40-stable	2019-08-07
v19.11.6.31-stable	2019-08-05
v19.11.5.28-stable	2019-08-01
v19.11.4.24-stable	2019-07-18
v19.11.3.11-stable	2019-07-16
v19.11.2.7-stable	2019-07-12
v19.10.1.5-stable	2019-07-20
v19.9.5.36-stable	2019-07-10
v19.9.4.34-stable	2019-07-05
v19.9.3.31-stable	2019-06-24
v19.9.2.4-stable	2019-06-11
